"Guid","ContentLocation","ContentUrl","Description","ExternalDocumentInfo1","ExternalDocumentInfo2","IsAssetEnabled","IsMajorVersion","Origin","PathOnClient","ReasonForChange","SharingOption","SharingPrivacy","TagCsv","Title"
28f8401f-a38a-4e6c-86ee-0e803898ef2e,S,"#N/A","#N/A","#N/A","#N/A",true,true,H,ProdlyLogo.png,"#N/A",A,N,"#N/A",ProdlyLogo
5486c0c5-1cbf-4e62-b082-17bb4654e6e8,S,"#N/A",Prodly AppOps export for data set template dataset generated on 2022-06-22 16:52:25,"#N/A","#N/A",false,true,H,Prodly Data set Export - 2022-06-22 16:52:25.json,"#N/A",A,N,"#N/A",Prodly Data set Export - 2022-06-22 16:52:25
5653e82a-a48c-4797-9635-4b1c88c72f4c,S,"#N/A","#N/A","#N/A","#N/A",true,true,H,Prodly_Logo_Final.png,"#N/A",A,N,"#N/A",Prodly_Logo_Final
8e4c2fbe-e755-449b-9f73-4e146ada39b3,S,"#N/A",Prodly AppOps export for data set Test3 generated on 2022-06-29 16:19:43,"#N/A","#N/A",false,true,H,Prodly Data set Export - 2022-06-29 16:19:43.json,"#N/A",A,N,"#N/A",Prodly Data set Export - 2022-06-29 16:19:43
907f68ce-851e-4299-b2f7-6ffc8f366524,S,"#N/A","#N/A","#N/A","#N/A",true,true,H,ProdlyMooverLogo.png,"#N/A",A,N,"#N/A",ProdlyMooverLogo
9d3b2f59-864b-46cd-b785-54641af4b8b9,S,"#N/A",Prodly AppOps export for deployment plan Salesforce CPQ 218 &> VEID Deployment Plan generated on 2022-06-29 16:52:55,"#N/A","#N/A",false,true,H,Prodly Deployment Plan Export - 2022-06-29 16:52:55.json,"#N/A",A,N,"#N/A",Prodly Deployment Plan Export - 2022-06-29 16:52:55
cbc504d2-3a09-4402-bf0a-2cd88bf131de,S,"#N/A",Audit report a088b00001F6EmVAAV,"#N/A","#N/A",false,true,C,report_a088b00001F6EmVAAV.html,"#N/A",A,N,"#N/A",Audit report a088b00001F6EmVAAV
df6e102b-d53e-4e69-9084-eee759185bde,S,"#N/A",Prodly AppOps export for data set order_asnaf generated on 2022-06-22 16:49:06,"#N/A","#N/A",false,true,H,Prodly Data set Export - 2022-06-22 16:49:06.json,"#N/A",A,N,"#N/A",Prodly Data set Export - 2022-06-22 16:49:06
e3653736-4331-4cca-8174-09410294bdda,S,"#N/A","#N/A","#N/A","#N/A",true,true,H,Logo 2020.png,"#N/A",A,N,"#N/A",Logo 2020
ee04d6f9-9f94-4c13-b216-f2510f17e041,S,"#N/A","#N/A","#N/A","#N/A",true,true,H,Prodly_Logo_Final.png,"#N/A",A,N,"#N/A",Prodly_Logo_Final
fea0bd6e-4220-42f1-a029-a252b33a1d75,S,"#N/A",Audit report a088b00001F6DujAAF,"#N/A","#N/A",false,true,C,report_a088b00001F6DujAAF.html,"#N/A",A,N,"#N/A",Audit report a088b00001F6DujAAF
